"","Month","MoY","SCODE","STATION","NAME","LATITUDE","LONGITUDE","DATE","Year","Day","DoY","Time","PRCP","TAVG","TMAX","TMIN","MAVG","MMAX","NormalMMAX"
"49",1,"2016-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2016-01-31",2016,31,"01-31",9527,10,28.75,31.7,25.8,28.0354838709677,32.2258064516129,31.6660215053763
"50",1,"2016-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2016-01-30",2016,30,"01-30",9526,5,29.15,31.8,26.5,28.0354838709677,32.2258064516129,31.6660215053763
"51",1,"2016-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2016-01-29",2016,29,"01-29",9525,0,29.2,32.3,26.1,28.0354838709677,32.2258064516129,31.6660215053763
"53",1,"2016-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2016-01-26",2016,26,"01-26",9522,103.2,27.05,30.2,23.9,28.0354838709677,32.2258064516129,31.6660215053763
"57",1,"2016-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2016-01-25",2016,25,"01-25",9521,0,29.05,31.9,26.2,28.0354838709677,32.2258064516129,31.6660215053763
"58",1,"2016-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2016-01-24",2016,24,"01-24",9520,0,26.8,31,22.6,28.0354838709677,32.2258064516129,31.6660215053763
"60",1,"2016-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2016-01-21",2016,21,"01-21",9517,0,27.85,32.8,22.9,28.0354838709677,32.2258064516129,31.6660215053763
"61",1,"2016-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2016-01-23",2016,23,"01-23",9519,0.2,26,30.4,21.6,28.0354838709677,32.2258064516129,31.6660215053763
"65",1,"2016-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2016-01-20",2016,20,"01-20",9516,9,28.5,32.9,24.1,28.0354838709677,32.2258064516129,31.6660215053763
"66",1,"2016-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2016-01-19",2016,19,"01-19",9515,9.2,27.85,31.6,24.1,28.0354838709677,32.2258064516129,31.6660215053763
"69",1,"2016-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2016-01-18",2016,18,"01-18",9514,2.8,28.65,33.2,24.1,28.0354838709677,32.2258064516129,31.6660215053763
"134",1,"2016-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2016-01-28",2016,28,"01-28",9524,118,27.95,31.1,24.8,28.0354838709677,32.2258064516129,31.6660215053763
"142",1,"2016-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2016-01-22",2016,22,"01-22",9518,7.2,28.4,32.4,24.4,28.0354838709677,32.2258064516129,31.6660215053763
"150",1,"2016-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2016-01-17",2016,17,"01-17",9513,1.6,29,33.4,24.6,28.0354838709677,32.2258064516129,31.6660215053763
"215",1,"2016-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2016-01-27",2016,27,"01-27",9523,0.2,28.45,31.1,25.8,28.0354838709677,32.2258064516129,31.6660215053763
"230",1,"2016-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2016-01-16",2016,16,"01-16",9512,0,28.65,32.6,24.7,28.0354838709677,32.2258064516129,31.6660215053763
"391",1,"2016-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2016-01-15",2016,15,"01-15",9511,0,27.1,32.3,21.9,28.0354838709677,32.2258064516129,31.6660215053763
"471",1,"2016-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2016-01-14",2016,14,"01-14",9510,0.6,27.35,30.9,23.8,28.0354838709677,32.2258064516129,31.6660215053763
"551",1,"2016-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2016-01-13",2016,13,"01-13",9509,0,27.4,33,21.8,28.0354838709677,32.2258064516129,31.6660215053763
"631",1,"2016-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2016-01-12",2016,12,"01-12",9508,0.2,27.75,33,22.5,28.0354838709677,32.2258064516129,31.6660215053763
"685",1,"2016-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2016-01-11",2016,11,"01-11",9507,2.6,28.5,32.6,24.4,28.0354838709677,32.2258064516129,31.6660215053763
